product_asin,product_short_title
B07FSNSLZ1,where the crawdads sing
B01I28NFEE,the subtle art of not giving a f*ck
B07KKMNZCH,cant hurt me
B017V4IM1G,harry potter and the sorcerers stone
B002UZZ93G,a game of thrones
B017V4IWVG,harry potter and the chamber of secrets
B002UZMLXM,the name of the wind
B017V4JA2Q,harry potter and the prisoner of azkaban
B017V4NUPO,harry potter and the goblet of fire
B003ZWFO7E,the way of kings
B002UZKIBO,a clash of kings
B017V4NMX4,harry potter and the order of the phoenix
B06Y1GBY2M,before we were yours
B0731R4RFX,unfu*k yourself
B017V4NOZ0,harry potter and the half-blood prince
B004QISZN6,the wise mans fear
B01KKPH1VA,the dispatcher
B0797YBP7N,12 rules for life
B0036NQ9Z8,a storm of swords
B002V0QCYU,the final empire: mistborn book 1
B008BT3C1Q,rich dad poor dad
B00HWF0MHW,words of radiance
1705015328,outlander: international edition
B007C64916,the power of habit
B015TVHUA2,extreme ownership
B01LWUJKQ7,norse mythology
1549150340,talking to strangers
B077H1PRL8,"girl, wash your face"
B06XYT3G6M,eleanor oliphant is completely fine
B0077DEH7A,the stand
B07BQFXFW9,then she was gone
B00YNT5JO6,the life we bury
1250317533,the silent patient
B0055274U2,american gods: the tenth anniversary edition (a full cast production)
B0085XRNWM,gone girl
B0099RKI5W,the hobbit
B07957SPGB,the outsider
B00UX8ODPM,elon musk
B0057POQJE,a dance with dragons
B01GW1OHVI,behind closed doors
B0099RKRTY,the fellowship of the ring
B00K8F589A,big little lies
B002VA9IKK,the hero of ages
B01CF5O89G,never split the difference
B002V5GLQ4,the well of ascension
B01EM4ZO14,hillbilly elegy
B006LPIVL8,a feast for crows
B00I2VWW5U,red rising
B002V8KYMI,storm front
B002VA9SWS,the hitchhikers guide to the galaxy
0593396960,ready player two
B01NAGD7TV,the hate u give
B06VX22V89,the 5 second rule
0062963708,the dutch house
B01CRM17MS,shoe dog
B07CRQQHG2,something in the water
B06Y4FV56S,the alice network
B002V1CN0G,dragonfly in amber
B005DF6XHQ,the 10x rule
B06XS3VMBM,beneath a scarlet sky
B004MNLNX4,a discovery of witches
B06ZXT7Z51,the great alone
B002UZMWNG,the girl with the dragon tattoo
0525530207,the giver of stars
B002UUKIR8,the total money makeover
0525633723,a promised land
1705015336,dragonfly in amber: international edition
B009ABHTF4,the two towers
B01N48VJFJ,columbus day
B0036KV7Y4,good omens
B002V1NTTU,sharp objects
B00R6S1RCY,golden son
B002VA3GJO,the four agreements
B019NMZ6FE,morning star
1508279071,the institute
B007QV7C5W,fifty shades of grey
B002V08BS0,drums of autumn
B07C8GVTB5,bad blood
B00J8VK1WY,mr. mercedes
B00WX7Y0W2,the last wish
B07NLL95S4,maybe you should talk to someone
B00D3PBYAE,the boys in the boat
B002V5HAL4,the 7 habits of highly effective people
B06X9MXN32,astrophysics for people in a hurry
B00CS522EW,the cuckoos calling
170501531X,drums of autumn: international edition
B00DEL0Z9I,doctor sleep
B002V0GGFK,the five love languages: the secret to love that lasts
B002UP1LXS,the great hunt
B07XQLXGJW,midnight son
B002V0QUOC,mans search for meaning
B019NNU7XE,the dark tower i
B07W8WY88T,the sisters
B075NMRZTR,black ops
B074Q1R3VB,the wife between us
1797113860,too much and never enough
B078RV7BWR,zero hour
B00UKEQK82,modern romance
B002V1BII4,fool moon
B08129DD1H,buried deep
B002UZYX2Y,the pillars of the earth
B008OLF29Q,the shining
B002V0PN36,the power of now
B00RC3M6OG,the life-changing magic of tidying up
B002V8LF30,the girl who played with fire
B005V0QI82,steve jobs
B071Y9TTHC,children of time
B00IIS32NI,off to be the wizard
B071DNLS1F,the land: founding: a litrpg saga
