,Unnamed: 0,Date,Title,Author,Ranking,Year,Month,List
0,0,2019-01-01,the reckoning,John Grisham,1,2019,1,combined-print-and-e-book-fiction
1,1,2019-01-01,every breath,Nicholas Sparks,2,2019,1,combined-print-and-e-book-fiction
2,2,2019-01-01,fire and blood,George R.R. Martin,3,2019,1,combined-print-and-e-book-fiction
3,3,2019-01-01,where the crawdads sing,Delia Owens,4,2019,1,combined-print-and-e-book-fiction
4,4,2019-01-01,target alex cross,James Patterson,5,2019,1,combined-print-and-e-book-fiction
5,5,2019-01-01,a dogs way home,W. Bruce Cameron,6,2019,1,combined-print-and-e-book-fiction
6,6,2019-01-01,past tense,Lee Child,7,2019,1,combined-print-and-e-book-fiction
7,7,2019-01-01,the tattooist of auschwitz,Heather Morris,8,2019,1,combined-print-and-e-book-fiction
8,8,2019-01-01,long road to mercy,David Baldacci,9,2019,1,combined-print-and-e-book-fiction
9,9,2019-01-01,nine perfect strangers,Liane Moriarty,10,2019,1,combined-print-and-e-book-fiction
10,10,2019-01-01,the next person you meet in heaven,Mitch Albom,11,2019,1,combined-print-and-e-book-fiction
11,11,2019-01-01,safe and sound,Fern Michaels,12,2019,1,combined-print-and-e-book-fiction
12,12,2019-01-01,milk and honey,Rupi Kaur,13,2019,1,combined-print-and-e-book-fiction
13,13,2019-01-01,elevation,Stephen King,14,2019,1,combined-print-and-e-book-fiction
14,14,2019-01-01,tom clancy oath of office,Marc Cameron,15,2019,1,combined-print-and-e-book-fiction
15,15,2019-02-01,where the crawdads sing,Delia Owens,1,2019,2,combined-print-and-e-book-fiction
16,16,2019-02-01,liar liar,James Patterson and Candice Fox,2,2019,2,combined-print-and-e-book-fiction
17,17,2019-02-01,the tattooist of auschwitz,Heather Morris,3,2019,2,combined-print-and-e-book-fiction
18,18,2019-02-01,the reckoning,John Grisham,4,2019,2,combined-print-and-e-book-fiction
19,19,2019-02-01,turning point,Danielle Steel,5,2019,2,combined-print-and-e-book-fiction
20,20,2019-02-01,an anonymous girl,Greer Hendricks and Sarah Pekkanen,6,2019,2,combined-print-and-e-book-fiction
21,21,2019-02-01,deal with the devil,Meghan March,7,2019,2,combined-print-and-e-book-fiction
22,22,2019-02-01,eleanor oliphant is completely fine,Gail Honeyman,8,2019,2,combined-print-and-e-book-fiction
23,23,2019-02-01,a dogs way home,W. Bruce Cameron,9,2019,2,combined-print-and-e-book-fiction
24,24,2019-02-01,the house next door,James Patterson,10,2019,2,combined-print-and-e-book-fiction
25,25,2019-02-01,summoned to the thirteenth grave,Darynda Jones,11,2019,2,combined-print-and-e-book-fiction
26,26,2019-02-01,securing caite,Susan Stoker,12,2019,2,combined-print-and-e-book-fiction
27,27,2019-02-01,nine perfect strangers,Liane Moriarty,13,2019,2,combined-print-and-e-book-fiction
28,28,2019-02-01,a soldiers return,RaeAnne Thayne,14,2019,2,combined-print-and-e-book-fiction
29,29,2019-02-01,the new iberia blues,James Lee Burke,15,2019,2,combined-print-and-e-book-fiction
30,30,2019-03-01,where the crawdads sing,Delia Owens,1,2019,3,combined-print-and-e-book-fiction
31,31,2019-03-01,the tattooist of auschwitz,Heather Morris,2,2019,3,combined-print-and-e-book-fiction
32,32,2019-03-01,connections in death,J.D. Robb,3,2019,3,combined-print-and-e-book-fiction
33,33,2019-03-01,the lost girls of paris,Pam Jenoff,4,2019,3,combined-print-and-e-book-fiction
34,34,2019-03-01,the silent patient,Alex Michaelides,5,2019,3,combined-print-and-e-book-fiction
35,35,2019-03-01,the wedding guest,Jonathan Kellerman,6,2019,3,combined-print-and-e-book-fiction
36,36,2019-03-01,eleanor oliphant is completely fine,Gail Honeyman,7,2019,3,combined-print-and-e-book-fiction
37,37,2019-03-01,an anonymous girl,Greer Hendricks and Sarah Pekkanen,8,2019,3,combined-print-and-e-book-fiction
38,38,2019-03-01,the reckoning,John Grisham,9,2019,3,combined-print-and-e-book-fiction
39,39,2019-03-01,black leopard red wolf,Marlon James,10,2019,3,combined-print-and-e-book-fiction
40,40,2019-03-01,an american marriage,Tayari Jones,11,2019,3,combined-print-and-e-book-fiction
41,41,2019-03-01,luck of the devil,Meghan March,12,2019,3,combined-print-and-e-book-fiction
42,42,2019-03-01,shelter for quinn,Susan Stoker,13,2019,3,combined-print-and-e-book-fiction
43,43,2019-03-01,fifty fifty,James Patterson and Candice Fox,14,2019,3,combined-print-and-e-book-fiction
44,44,2019-03-01,lilac girls,Martha Hall Kelly,15,2019,3,combined-print-and-e-book-fiction
45,45,2019-04-01,where the crawdads sing,Delia Owens,1,2019,4,combined-print-and-e-book-fiction
46,46,2019-04-01,run away,Harlan Coben,2,2019,4,combined-print-and-e-book-fiction
47,47,2019-04-01,celtic empire,Clive Cussler and Dirk Cussler,3,2019,4,combined-print-and-e-book-fiction
48,48,2019-04-01,the first lady,James Patterson and Brendan DuBois,4,2019,4,combined-print-and-e-book-fiction
49,49,2019-04-01,the woman in the window,A.J. Finn,5,2019,4,combined-print-and-e-book-fiction
50,50,2019-04-01,the tattooist of auschwitz,Heather Morris,6,2019,4,combined-print-and-e-book-fiction
51,51,2019-04-01,wolf pack,C.J. Box,7,2019,4,combined-print-and-e-book-fiction
52,52,2019-04-01,the lost girls of paris,Pam Jenoff,8,2019,4,combined-print-and-e-book-fiction
53,53,2019-04-01,cemetery road,Greg Iles,9,2019,4,combined-print-and-e-book-fiction
54,54,2019-04-01,the silent patient,Alex Michaelides,10,2019,4,combined-print-and-e-book-fiction
55,55,2019-04-01,daisy jones  the six,Taylor Jenkins Reid,11,2019,4,combined-print-and-e-book-fiction
56,56,2019-04-01,eleanor oliphant is completely fine,Gail Honeyman,12,2019,4,combined-print-and-e-book-fiction
57,57,2019-04-01,the fallen,David Baldacci,13,2019,4,combined-print-and-e-book-fiction
58,58,2019-04-01,silent night,Danielle Steel,14,2019,4,combined-print-and-e-book-fiction
59,59,2019-04-01,the huntress,Kate Quinn,15,2019,4,combined-print-and-e-book-fiction
60,60,2019-05-01,redemption,David Baldacci,1,2019,5,combined-print-and-e-book-fiction
61,61,2019-05-01,the mister,E L James,2,2019,5,combined-print-and-e-book-fiction
62,62,2019-05-01,where the crawdads sing,Delia Owens,3,2019,5,combined-print-and-e-book-fiction
63,63,2019-05-01,normal people,Sally Rooney,4,2019,5,combined-print-and-e-book-fiction
64,64,2019-05-01,a game of thrones,George R.R. Martin,5,2019,5,combined-print-and-e-book-fiction
65,65,2019-05-01,the tattooist of auschwitz,Heather Morris,6,2019,5,combined-print-and-e-book-fiction
66,66,2019-05-01,the 13minute murder,James Patterson,7,2019,5,combined-print-and-e-book-fiction
67,67,2019-05-01,the woman in the window,A.J. Finn,8,2019,5,combined-print-and-e-book-fiction
68,68,2019-05-01,the overstory,Richard Powers,9,2019,5,combined-print-and-e-book-fiction
69,69,2019-05-01,lost roses,Martha Hall Kelly,10,2019,5,combined-print-and-e-book-fiction
70,70,2019-05-01,after,Anna Todd,11,2019,5,combined-print-and-e-book-fiction
71,71,2019-05-01,a gentleman in moscow,Amor Towles,12,2019,5,combined-print-and-e-book-fiction
72,72,2019-05-01,someone knows,Lisa Scottoline,13,2019,5,combined-print-and-e-book-fiction
73,73,2019-05-01,the lost girls of paris,Pam Jenoff,14,2019,5,combined-print-and-e-book-fiction
74,74,2019-05-01,star wars master  apprentice,Claudia Gray,15,2019,5,combined-print-and-e-book-fiction
75,75,2019-06-01,where the crawdads sing,Delia Owens,1,2019,6,combined-print-and-e-book-fiction
76,76,2019-06-01,the night window,Dean Koontz,2,2019,6,combined-print-and-e-book-fiction
77,77,2019-06-01,the 18th abduction,James Patterson and Maxine Paetro,3,2019,6,combined-print-and-e-book-fiction
78,78,2019-06-01,the mister,E L James,4,2019,6,combined-print-and-e-book-fiction
79,79,2019-06-01,past tense,Lee Child,5,2019,6,combined-print-and-e-book-fiction
80,80,2019-06-01,redemption,David Baldacci,6,2019,6,combined-print-and-e-book-fiction
81,81,2019-06-01,a game of thrones,George R.R. Martin,7,2019,6,combined-print-and-e-book-fiction
82,82,2019-06-01,blessing in disguise,Danielle Steel,8,2019,6,combined-print-and-e-book-fiction
83,83,2019-06-01,neon prey,John Sandford,9,2019,6,combined-print-and-e-book-fiction
84,84,2019-06-01,the never game,Jeffery Deaver,10,2019,6,combined-print-and-e-book-fiction
85,85,2019-06-01,sunset beach,Mary Kay Andrews,11,2019,6,combined-print-and-e-book-fiction
86,86,2019-06-01,the tattooist of auschwitz,Heather Morris,12,2019,6,combined-print-and-e-book-fiction
87,87,2019-06-01,little fires everywhere,Celeste Ng,13,2019,6,combined-print-and-e-book-fiction
88,88,2019-06-01,the guest book,Sarah Blake,14,2019,6,combined-print-and-e-book-fiction
89,89,2019-06-01,the unhoneymooners,Christina Lauren,15,2019,6,combined-print-and-e-book-fiction
90,90,2019-07-01,summer of 69,Elin Hilderbrand,1,2019,7,combined-print-and-e-book-fiction
91,91,2019-07-01,where the crawdads sing,Delia Owens,2,2019,7,combined-print-and-e-book-fiction
92,92,2019-07-01,the reckoning,John Grisham,3,2019,7,combined-print-and-e-book-fiction
93,93,2019-07-01,city of girls,Elizabeth Gilbert,4,2019,7,combined-print-and-e-book-fiction
94,94,2019-07-01,mrs everything,Jennifer Weiner,5,2019,7,combined-print-and-e-book-fiction
95,95,2019-07-01,before we were yours,Lisa Wingate,6,2019,7,combined-print-and-e-book-fiction
96,96,2019-07-01,unsolved,James Patterson and David Ellis,7,2019,7,combined-print-and-e-book-fiction
97,97,2019-07-01,little fires everywhere,Celeste Ng,8,2019,7,combined-print-and-e-book-fiction
98,98,2019-07-01,the tattooist of auschwitz,Heather Morris,9,2019,7,combined-print-and-e-book-fiction
99,99,2019-07-01,good omens,Neil Gaiman and Terry Pratchett,10,2019,7,combined-print-and-e-book-fiction
100,100,2019-07-01,tom clancy enemy contact,Mike Maden,11,2019,7,combined-print-and-e-book-fiction
101,101,2019-07-01,the oracle,Clive Cussler and Robin Burcell,12,2019,7,combined-print-and-e-book-fiction
102,102,2019-07-01,cottage by the sea,Debbie Macomber,13,2019,7,combined-print-and-e-book-fiction
103,103,2019-07-01,there goes my heart,Bella Andre,14,2019,7,combined-print-and-e-book-fiction
104,104,2019-07-01,past tense,Lee Child,15,2019,7,combined-print-and-e-book-fiction
105,105,2019-08-01,the new girl,Daniel Silva,1,2019,8,combined-print-and-e-book-fiction
106,106,2019-08-01,where the crawdads sing,Delia Owens,2,2019,8,combined-print-and-e-book-fiction
107,107,2019-08-01,the nickel boys,Colson Whitehead,3,2019,8,combined-print-and-e-book-fiction
108,108,2019-08-01,the adventure zone murder on the rockport limited,Clint McElroy et al. Illustrated by Carey Pietsch,4,2019,8,combined-print-and-e-book-fiction
109,109,2019-08-01,under currents,Nora Roberts,5,2019,8,combined-print-and-e-book-fiction
110,110,2019-08-01,window on the bay,Debbie Macomber,6,2019,8,combined-print-and-e-book-fiction
111,111,2019-08-01,summer of 69,Elin Hilderbrand,7,2019,8,combined-print-and-e-book-fiction
112,112,2019-08-01,the reckoning,John Grisham,8,2019,8,combined-print-and-e-book-fiction
113,113,2019-08-01,evvie drake starts over,Linda Holmes,9,2019,8,combined-print-and-e-book-fiction
114,114,2019-08-01,before we were yours,Lisa Wingate,10,2019,8,combined-print-and-e-book-fiction
115,115,2019-08-01,the tattooist of auschwitz,Heather Morris,11,2019,8,combined-print-and-e-book-fiction
116,116,2019-08-01,shamed,Linda Castillo,12,2019,8,combined-print-and-e-book-fiction
117,117,2019-08-01,sold on a monday,Kristina McMorris,13,2019,8,combined-print-and-e-book-fiction
118,118,2019-08-01,city of girls,Elizabeth Gilbert,14,2019,8,combined-print-and-e-book-fiction
119,119,2019-08-01,little fires everywhere,Celeste Ng,15,2019,8,combined-print-and-e-book-fiction
120,120,2019-09-01,where the crawdads sing,Delia Owens,1,2019,9,combined-print-and-e-book-fiction
121,121,2019-09-01,the bitterroots,C.J. Box,2,2019,9,combined-print-and-e-book-fiction
122,122,2019-09-01,contraband,Stuart Woods,3,2019,9,combined-print-and-e-book-fiction
123,123,2019-09-01,the inn,James Patterson with Candice Fox,4,2019,9,combined-print-and-e-book-fiction
