,list_name,display_name,list_name_encoded,oldest_published_date,newest_published_date,updated
0,Combined Print and E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,2011-02-13,2022-04-10,WEEKLY
1,Combined Print and E-Book Nonfiction,Combined Print & E-Book Nonfiction,combined-print-and-e-book-nonfiction,2011-02-13,2022-04-10,WEEKLY
2,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2008-06-08,2022-04-10,WEEKLY
3,Hardcover Nonfiction,Hardcover Nonfiction,hardcover-nonfiction,2008-06-08,2022-04-10,WEEKLY
4,Trade Fiction Paperback,Paperback Trade Fiction,trade-fiction-paperback,2008-06-08,2022-04-10,WEEKLY
5,Mass Market Paperback,Paperback Mass-Market Fiction,mass-market-paperback,2008-06-08,2017-01-29,WEEKLY
6,Paperback Nonfiction,Paperback Nonfiction,paperback-nonfiction,2008-06-08,2022-04-10,WEEKLY
7,E-Book Fiction,E-Book Fiction,e-book-fiction,2011-02-13,2017-01-29,WEEKLY
8,E-Book Nonfiction,E-Book Nonfiction,e-book-nonfiction,2011-02-13,2017-01-29,WEEKLY
9,Hardcover Advice,Hardcover Advice & Misc.,hardcover-advice,2008-06-08,2013-04-21,WEEKLY
10,Paperback Advice,Paperback Advice & Misc.,paperback-advice,2008-06-08,2013-04-21,WEEKLY
11,Advice How-To and Miscellaneous,"Advice, How-To & Miscellaneous",advice-how-to-and-miscellaneous,2013-04-28,2022-04-10,WEEKLY
12,Hardcover Graphic Books,Hardcover Graphic Books,hardcover-graphic-books,2009-03-15,2017-01-29,WEEKLY
13,Paperback Graphic Books,Paperback Graphic Books,paperback-graphic-books,2009-03-15,2017-01-29,WEEKLY
14,Manga,Manga,manga,2009-03-15,2017-01-29,WEEKLY
15,Combined Print Fiction,Combined Hardcover & Paperback Fiction,combined-print-fiction,2011-02-13,2013-05-12,WEEKLY
16,Combined Print Nonfiction,Combined Hardcover & Paperback Nonfiction,combined-print-nonfiction,2011-02-13,2013-05-12,WEEKLY
17,Chapter Books,Children’s Chapter Books,chapter-books,2008-06-08,2012-12-09,WEEKLY
18,Childrens Middle Grade,Children’s Middle Grade,childrens-middle-grade,2012-12-16,2015-08-23,WEEKLY
